time;kolejka pasazerow lotnisko;kolejka hotel1;kolejka hotel2;kolejka hotel3;kolejka hotel4;kolejka autobusow na lotnisku
385.51;418;4;4;3;1;0
385.681;418;4;4;3;0;0
386.181;418;3;4;3;0;0
387.811;418;3;5;3;0;0
388.233;403;3;5;3;0;0
388.987;415;3;5;3;0;0
391.096;415;0;5;3;0;0
391.983;425;0;5;3;0;0
392.632;425;0;5;3;1;0
393.574;425;0;5;4;1;0
394.391;410;0;5;4;1;0
395.175;410;0;5;4;2;0
395.251;410;0;6;4;2;0
395.698;410;0;6;5;2;0
395.93;421;0;6;5;2;0
399.483;421;0;4;5;2;0
399.692;432;0;4;5;2;0
401.446;432;0;4;5;3;0
402.581;432;0;4;5;3;0
404.775;417;0;4;5;3;0
405.002;417;1;4;5;3;0
405.02;417;1;2;5;3;0
407.137;417;1;2;5;4;0
407.639;417;2;2;5;4;0
408.236;417;2;2;5;5;0
408.911;417;1;2;5;5;0
409.224;417;1;2;6;5;0
410.125;417;1;2;6;6;0
411.434;417;1;2;0;6;0
411.498;427;1;2;0;6;0
413.059;427;1;2;1;6;0
413.462;437;1;2;1;6;0
416.244;448;1;2;1;6;0
416.84;448;1;3;1;6;0
417.843;448;0;3;1;6;0
418.068;459;0;3;1;6;0
418.702;459;0;0;1;6;0
419.065;459;0;0;0;6;0
423.132;459;0;0;0;6;0
423.834;459;0;0;0;0;0
424.023;470;0;0;0;0;0
424.525;470;0;1;0;0;0
425.475;482;0;1;0;0;0
425.779;482;0;1;1;0;0
426.166;494;0;1;1;0;0
426.483;494;0;1;1;1;0
426.491;505;0;1;1;1;0
426.652;505;0;1;1;2;0
428.259;505;0;1;2;2;0
429.356;505;0;1;3;2;0
429.982;505;0;1;4;2;0
430.278;505;0;1;4;3;0
430.308;505;0;1;4;4;0
433.562;505;0;2;4;4;0
433.908;505;0;2;0;4;0
434.309;505;0;0;0;4;0
434.857;515;0;0;0;4;0
435.757;515;0;0;0;0;0
435.954;515;0;0;0;0;0
437.205;515;0;1;0;0;0
438.025;515;0;1;1;0;0
438.274;515;0;1;1;1;0
438.68;515;0;1;2;1;0
439.194;515;0;2;2;1;0
439.591;500;0;2;2;1;0
439.995;500;1;2;2;1;0
440.53;500;1;3;2;1;0
441.131;500;1;4;2;1;0
441.141;500;1;5;2;1;0
442.34;500;2;5;2;1;0
442.889;500;2;5;3;1;0
442.923;500;3;5;3;1;0
444.318;500;3;5;3;2;0
444.403;500;3;5;4;2;0
445.337;500;3;5;4;3;0
447.22;500;4;5;4;3;0
449.258;485;4;5;4;3;0
449.329;485;4;5;4;0;0
449.591;485;4;5;0;0;0
450.454;485;5;5;0;0;0
451.519;485;5;5;0;1;0
453.308;485;5;5;0;0;0
453.975;485;5;5;1;0;0
453.984;485;5;5;2;0;0
454.734;485;2;5;2;0;0
456.543;485;2;5;3;0;0
459.795;470;2;5;3;0;0
462.602;481;2;5;3;0;0
463.185;481;3;5;3;0;0
464.058;493;3;5;3;0;0
464.292;493;3;5;3;0;0
465.028;478;3;5;3;0;0
466.263;478;2;5;3;0;0
467.991;478;2;1;3;0;0
469.671;478;2;1;3;1;0
469.978;488;2;1;3;1;0
471.293;497;2;1;3;1;0
471.381;497;3;1;3;1;0
472.668;497;1;1;3;1;0
472.945;507;1;1;3;1;0
473.851;507;1;1;4;1;0
475.749;517;1;1;4;1;0
476.929;517;1;1;5;1;0
477.692;517;1;2;5;1;0
479.517;517;0;2;5;1;0
480.18;526;0;2;5;1;0
480.875;526;0;2;6;1;0
480.998;535;0;2;6;1;0
481.532;535;0;2;3;1;0
481.558;545;0;2;3;1;0
482.454;530;0;2;3;1;0
483.406;530;0;3;3;1;0
483.548;530;0;0;3;1;0
483.9;541;0;0;3;1;0
484.222;541;0;0;3;1;0
487.131;541;0;0;4;1;0
488.557;552;0;0;4;1;0
489.084;552;0;0;5;1;0
489.648;552;0;0;6;1;0
491.835;561;0;0;6;1;0
492.554;572;0;0;6;1;0
494.175;572;0;0;7;1;0
494.999;572;0;0;7;2;0
495.408;572;0;0;7;2;0
495.634;583;0;0;7;2;0
495.802;583;0;0;7;0;0
497.167;583;0;0;7;0;0
497.253;583;0;0;0;0;0
497.828;583;0;0;0;0;0
497.969;583;0;0;0;1;0
498.247;583;0;0;1;1;0
498.379;583;1;0;1;1;0
500.285;593;1;0;1;1;0
500.647;593;2;0;1;1;0
501.761;593;2;1;1;1;0
502.079;593;2;1;2;1;0
502.339;593;2;1;2;2;0
503.366;593;2;1;2;3;0
503.831;593;2;2;2;3;0
504.419;593;2;2;2;4;0
504.977;593;2;2;3;4;0
508.5;593;2;2;0;4;0
509.96;578;2;2;0;4;0
510.693;578;2;2;0;0;0
511.266;589;2;2;0;0;0
511.346;589;2;2;0;1;0
511.453;589;2;2;0;2;0
512.084;589;2;2;0;0;0
512.135;598;2;2;0;0;0
512.425;598;2;0;0;0;0
513.574;598;2;0;1;0;0
517.568;598;2;1;1;0;0
518.135;598;2;2;1;0;0
518.788;598;2;3;1;0;0
519.091;598;2;4;1;0;0
519.737;598;2;4;2;0;0
520.555;608;2;4;2;0;0
520.656;608;2;4;2;0;0
522.314;618;2;4;2;0;0
522.593;627;2;4;2;0;0
523.968;627;0;4;2;0;0
525.686;612;0;4;2;0;0
526.096;612;0;5;2;0;0
527.818;612;0;5;2;0;1
528.418;612;0;5;0;0;1
530.313;612;0;5;0;1;1
530.494;612;0;6;0;1;1
530.686;597;0;6;0;1;0
530.779;597;1;6;0;1;0
532.962;597;1;6;0;1;1
533.077;597;1;6;1;1;1
535.575;597;1;6;1;2;1
535.686;582;1;6;1;2;0
538.691;582;1;0;1;2;0
539.126;582;1;0;2;2;0
539.775;582;1;0;3;2;0
540.196;582;0;0;3;2;0
540.337;582;1;0;3;2;0
542.57;582;1;1;3;2;0
542.589;582;1;1;3;3;0
543.184;582;1;1;3;0;0
543.878;592;1;1;3;0;0
544.332;592;1;1;3;1;0
545.412;592;0;1;3;1;0
546.472;592;1;1;3;1;0
546.695;592;1;2;3;1;0
547.169;592;1;2;4;1;0
548.45;602;1;2;4;1;0
549.316;602;0;2;4;1;0
549.965;602;0;3;4;1;0
550.213;602;0;3;1;1;0
551.394;602;0;3;1;2;0
551.689;602;0;4;1;2;0
551.999;602;0;5;1;2;0
552.2;602;0;6;1;2;0
552.882;602;0;6;1;3;0
553.062;602;0;1;1;3;0
555.911;602;0;1;2;3;0
556.92;587;0;1;2;3;0
557.468;587;0;1;3;3;0
557.614;587;0;1;3;4;0
558.737;587;1;1;3;4;0
559.131;587;1;1;3;5;0
559.2;587;1;1;3;6;0
559.846;597;1;1;3;6;0
559.975;597;2;1;3;6;0
560.44;597;2;0;3;6;0
561.487;597;2;0;4;6;0
561.674;607;2;0;4;6;0
562.336;607;2;0;4;2;0
563.649;617;2;0;4;2;0
564.279;617;2;0;4;2;0
565.293;627;2;0;4;2;0
566.121;627;3;0;4;2;0
566.499;627;3;0;4;3;0
567.411;627;3;0;4;4;0
567.933;627;3;0;0;4;0
568.751;627;3;0;0;5;0
571.775;627;0;0;0;5;0
573.084;637;0;0;0;5;0
573.132;637;1;0;0;5;0
573.145;650;1;0;0;5;0
575.019;650;1;0;0;5;0
576.367;662;1;0;0;5;0
577.12;647;1;0;0;5;0
578.404;647;1;0;1;5;0
579.142;647;1;0;2;5;0
579.672;647;1;0;0;5;0
581.684;656;1;0;0;5;0
581.971;656;1;0;1;5;0
582.301;656;1;1;1;5;0
582.395;656;1;1;1;0;0
585.57;665;1;1;1;0;0
587.697;665;1;0;1;0;0
589.114;665;1;1;1;0;0
589.68;676;1;1;1;0;0
590.411;676;1;1;1;1;0
590.776;676;1;1;2;1;0
591.156;676;1;1;3;1;0
591.451;676;0;1;3;1;0
591.847;676;0;1;3;0;0
592.847;686;0;1;3;0;0
593.361;696;0;1;3;0;0
594.497;696;0;1;3;1;0
594.932;696;0;1;3;0;0
597.339;696;0;2;3;0;0
597.353;696;0;3;3;0;0
599.573;696;0;3;3;1;0
599.764;696;0;4;3;1;0
599.942;681;0;4;3;1;0
601.418;681;0;4;4;1;0
601.875;681;0;4;0;1;0
602.065;690;0;4;0;1;0
604.898;690;0;5;0;1;0
604.903;690;0;5;0;2;0
605.191;690;0;0;0;2;0
608.803;675;0;0;0;2;0
609.182;675;0;0;0;2;1
609.324;675;0;0;0;3;1
612.527;675;0;0;0;4;1
613.803;660;0;0;0;4;0
614.174;660;0;0;0;5;0
615.877;660;0;0;0;5;0
615.902;660;1;0;0;5;0
617.126;660;1;0;0;0;0
618.737;660;1;0;0;1;0
620.673;660;0;0;0;1;0
622.094;671;0;0;0;1;0
622.801;680;0;0;0;1;0
622.84;689;0;0;0;1;0
624.142;689;0;0;0;1;0
624.401;689;0;1;0;1;0
625.564;689;0;1;1;1;0
626.349;689;0;1;1;2;0
626.763;689;0;1;1;3;0
628.253;689;0;1;1;3;0
628.377;701;0;1;1;3;0
628.513;712;0;1;1;3;0
628.693;712;0;1;2;3;0
629.365;723;0;1;2;3;0
630.357;723;0;0;2;3;0
631.042;723;0;0;3;3;0
631.128;733;0;0;3;3;0
631.168;733;0;0;4;3;0
631.868;718;0;0;4;3;0
632.426;718;0;0;5;3;0
632.917;718;0;0;5;4;0
633.571;718;0;1;5;4;0
634.761;718;0;1;6;4;0
636.085;718;0;2;6;4;0
636.679;718;1;2;6;4;0
638.254;718;1;0;6;4;0
639.588;718;1;0;6;5;0
639.831;718;1;0;6;0;0
640.143;727;1;0;6;0;0
641.866;727;1;1;6;0;0
645.849;727;1;1;0;0;0
645.975;727;1;0;0;0;0
648.03;727;1;0;0;1;0
648.567;727;0;0;0;1;0
649.518;727;0;1;0;1;0
649.957;727;0;1;1;1;0
650.391;727;0;1;2;1;0
650.75;727;0;1;2;2;0
